model,bench,variant,k,sample_method,tp,tag,step,num_sequences,wall_s,output_tok_s,len_p50,len_p90,len_max,total_tokens,mean_acceptance_length
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,0,128,34.5020100409165,6155.14863476513,1495,2571,3733,212365,
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,1,128,47.97488369978964,6923.226788384197,2651,4096,4096,332141,
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,2,128,42.718924462096766,6024.402609394914,1714,4066,4096,257356,
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,3,128,44.907725441036746,6663.597344579551,2011,4096,4096,299247,
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,0,128,21.73359045397956,8968.743586695697,1454,2176,3369,194923,2.5011555943606996
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,1,128,28.16470590000972,11452.418539186261,2313,4096,4096,322554,2.5387152641108397
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,2,128,24.406975722988136,10237.15526396279,1785,3636,4096,249858,2.588596245737326
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,3,128,26.892652006004937,11113.184372194532,2016,4096,4096,298863,2.5714556221166425
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,0,128,18.309891555996728,10502.519876313481,1454,2138,3291,192300,2.45678270541159
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,1,128,26.723570190006285,12171.539868637721,2340,4096,4096,325267,2.45352960705016
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,2,128,21.942153652998968,11188.418597481032,1747,3239,4096,245498,2.516733504959025
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,3,128,25.02176054099982,12098.78895227823,2003,4096,4096,302733,2.4828163328930417
